t,attention_level,boredom,fatigue,last_event_type,dopamine_hit,volatility,attention_liquidity,attention_demand,attention_imbalance,regime
0,60.0,20.0,10.0,none,0.0,5.0,70.0,1.0,0.0,baseline
1,58.321434428529095,19.593052072837434,10.02,baseline,1.523159757208559,5.925878956821113,70.38694792716257,1.458829990633678,-0.9593899590786581,baseline
2,56.35082611193599,19.250562486427505,10.04,baseline,1.308298621366427,6.5516334022783,70.70943751357251,0.5995332822987839,-0.9831849127646226,baseline
3,52.60796865543987,19.261503899732087,10.059999999999999,baseline,0.13019528898472643,7.1349802186425055,70.6784961002679,1.4976969788629266,-0.9584988646541409,baseline
4,49.14531822044432,19.21650390856,10.079999999999998,baseline,0.31666663724029864,6.798816991139859,70.70349609144,0.570395839030718,-0.9839942558605567,baseline
5,46.651672074280434,18.981601115483116,10.099999999999998,baseline,0.9496759769229497,6.641310925807613,70.91839888451689,0.5150393658903856,-0.9855798802772188,baseline
6,44.35287886430307,18.712313487724106,10.119999999999997,baseline,1.0642920925300352,7.292693206232442,71.1676865122759,1.3936977585534127,-0.9615856898939096,baseline
7,42.89172163990048,18.28327934569081,10.139999999999997,baseline,1.596780473444324,7.627234016044273,71.57672065430918,1.490542442282088,-0.9592008136308139,baseline
8,41.523753704933526,17.843600914396276,10.159999999999997,baseline,1.6322614376484466,7.529826151989677,71.99639908560373,0.5675659408209303,-0.9843568101435956,baseline
9,39.3138711570202,17.57684061174406,10.179999999999996,baseline,1.0558676755073837,7.794658128853169,72.24315938825595,0.5202198873178467,-0.9857010520265245,baseline
10,37.52030806107296,17.232895324444616,10.199999999999996,baseline,1.3131509576648122,8.663381990312327,72.56710467555538,0.8891112233895647,-0.9757920766130199,baseline
11,34.88106478610632,17.06072939160583,10.219999999999995,baseline,0.7405531094626303,9.480558704758401,72.71927060839417,1.0086311870157876,-0.9726390915120661,baseline
12,33.19133891021452,16.704975065474695,10.239999999999995,baseline,1.3525144204371138,10.169084059189435,73.0550249345253,1.2692736107843423,-0.965844989172402,baseline
13,29.59243355489963,16.72976091817419,10.259999999999994,baseline,0.08404715766835125,9.836848519346669,73.01023908182582,0.9784575483394772,-0.9735511613826547,baseline
14,33.720889919227005,15.238107495400701,10.279999999999994,high_impact_post,5.1388447425782955,13.247619568858132,74.4818925045993,3.5333721022414437,-0.9094184421459587,baseline
15,31.726412093847046,14.975493196545779,10.299999999999994,baseline,1.0420476628497441,12.868313766106905,74.72450680345422,0.7263003513957471,-0.9807477115544929,baseline
16,28.232826025561856,15.01118667666943,10.319999999999993,baseline,0.04768839958783433,13.08349992267346,74.66881332333058,0.8388373248034111,-0.9777813951936501,baseline
17,25.050607279800087,14.984343554727241,10.339999999999993,baseline,0.25614373980730254,12.884880045447408,74.67565644527276,0.6705294203736827,-0.9822013705758288,baseline
18,27.909082333920306,13.772792690101173,10.359999999999992,high_impact_post,4.205169548753558,15.926793834157904,75.86720730989884,5.593788629774019,-0.8626633871769359,baseline
19,25.342144695061947,13.648019821443967,10.379999999999992,baseline,0.5825762288573584,16.141559789378032,75.97198017855604,1.4138477388069108,-0.9634597761151642,baseline
20,22.52031803353256,13.574887405637103,10.399999999999991,baseline,0.41044138602288127,16.489174872712447,76.02511259436291,0.7651550598133585,-0.9800715615874862,baseline
21,19.383530589208057,13.564161661276476,10.419999999999991,baseline,0.20241914786875892,15.839131121397509,76.01583833872354,0.5309138313584245,-0.9861283773300071,disengaged
22,16.99583493518417,13.405981168707111,10.43999999999999,baseline,0.6939349752312152,15.100140506462445,76.15401883129289,1.1859460213033464,-0.9693316120956695,disengaged
23,16.522548287366337,12.874743625755567,10.45999999999999,baseline,1.937458476505147,14.867784989342072,76.66525637424444,0.7070191976463343,-0.9817242237630868,disengaged
24,15.959369123922919,12.370764174945345,10.47999999999999,baseline,1.846598169367408,14.303366352193917,77.14923582505466,1.256354725275891,-0.9679524198094163,disengaged
25,13.772915455785736,12.194171478992924,10.49999999999999,baseline,0.7553089865080715,14.515371626388692,77.30582852100709,0.7201738073472517,-0.9815401587712628,disengaged
